"IdAlg","Procesos","Prank","Tamaño","Tiempo"
"CANNON",4,0,400,"0,385691"
"CANNON",4,1,400,"0,385640"
"CANNON",4,2,400,"0,448357"
"CANNON",4,3,400,"0,402989"
"CANNON",4,0,600,"1,593543"
"CANNON",4,1,600,"1,360958"
"CANNON",4,2,600,"1,594552"
"CANNON",4,3,600,"1,735065"
"CANNON",4,0,900,"4,269354"
"CANNON",4,1,900,"4,325198"
"CANNON",4,2,900,"5,317387"
"CANNON",4,3,900,"5,617886"
"CANNON",4,0,1200,"11,092077"
"CANNON",4,1,1200,"10,031902"
"CANNON",4,2,1200,"12,968278"
"CANNON",4,3,1200,"13,352205"
"CANNON",9,0,600,"0,989737"
"CANNON",9,1,600,"0,865256"
"CANNON",9,2,600,"0,975516"
"CANNON",9,3,600,"1,041057"
"CANNON",9,4,600,"0,985283"
"CANNON",9,5,600,"0,875609"
"CANNON",9,6,600,"0,966920"
"CANNON",9,7,600,"1,036557"
"CANNON",9,8,600,"0,867790"
"CANNON",9,0,900,"4,077107"
"CANNON",9,1,900,"3,855048"
"CANNON",9,2,900,"4,137509"
"CANNON",9,3,900,"5,005123"
"CANNON",9,4,900,"4,117879"
"CANNON",9,5,900,"3,883004"
"CANNON",9,6,900,"4,126756"
"CANNON",9,7,900,"5,000801"
"CANNON",9,8,900,"3,972033"
"CANNON",9,0,1200,"8,036571"
"CANNON",9,1,1200,"7,798810"
"CANNON",9,2,1200,"8,519863"
"CANNON",9,3,1200,"10,008225"
"CANNON",9,4,1200,"8,488497"
"CANNON",9,5,1200,"7,851305"
"CANNON",9,6,1200,"8,518380"
"CANNON",9,7,1200,"10,051553"
"CANNON",9,8,1200,"8,427618"
"CANNON",9,0,1500,"18,552558"
"CANNON",9,1,1500,"17,431766"
"CANNON",9,2,1500,"19,124242"
"CANNON",9,3,1500,"22,664959"
"CANNON",9,4,1500,"18,938045"
"CANNON",9,5,1500,"17,405650"
"CANNON",9,6,1500,"19,032290"
"CANNON",9,7,1500,"22,944740"
"CANNON",9,8,1500,"18,659262"
"CANNON",16,0,400,"0,270867"
"CANNON",16,1,400,"0,351106"
"CANNON",16,2,400,"0,398682"
"CANNON",16,3,400,"0,393151"
"CANNON",16,4,400,"0,280995"
"CANNON",16,5,400,"0,341326"
"CANNON",16,6,400,"0,377107"
"CANNON",16,7,400,"0,390793"
"CANNON",16,8,400,"0,292551"
"CANNON",16,9,400,"0,331235"
"CANNON",16,10,400,"0,397101"
"CANNON",16,11,400,"0,393236"
"CANNON",16,12,400,"0,292643"
"CANNON",16,13,400,"0,341525"
"CANNON",16,14,400,"0,378213"
"CANNON",16,15,400,"0,388671"
"CANNON",16,0,600,"1,062021"
"CANNON",16,1,600,"1,056689"
"CANNON",16,2,600,"1,174871"
"CANNON",16,3,600,"1,237972"
"CANNON",16,4,600,"1,071232"
"CANNON",16,5,600,"1,021071"
"CANNON",16,6,600,"1,176126"
"CANNON",16,7,600,"1,233760"
"CANNON",16,8,600,"1,083844"
"CANNON",16,9,600,"1,044595"
"CANNON",16,10,600,"1,165075"
"CANNON",16,11,600,"1,238652"
"CANNON",16,12,600,"1,089570"
"CANNON",16,13,600,"1,032912"
"CANNON",16,14,600,"1,163887"
"CANNON",16,15,600,"1,229502"
"CANNON",16,0,900,"3,137378"
"CANNON",16,1,900,"2,912045"
"CANNON",16,2,900,"3,472373"
"CANNON",16,3,900,"3,733197"
"CANNON",16,4,900,"3,201674"
"CANNON",16,5,900,"2,912649"
"CANNON",16,6,900,"3,456127"
"CANNON",16,7,900,"3,726309"
"CANNON",16,8,900,"3,185951"
"CANNON",16,9,900,"2,918211"
"CANNON",16,10,900,"3,456546"
"CANNON",16,11,900,"3,723730"
"CANNON",16,12,900,"3,192903"
"CANNON",16,13,900,"2,910838"
"CANNON",16,14,900,"3,473297"
"CANNON",16,15,900,"3,729548"
"CANNON",16,0,1200,"10,353149"
"CANNON",16,1,1200,"8,795137"
"CANNON",16,2,1200,"11,035242"
"CANNON",16,3,1200,"12,711807"
"CANNON",16,4,1200,"10,436942"
"CANNON",16,5,1200,"8,805330"
"CANNON",16,6,1200,"11,031228"
"CANNON",16,7,1200,"12,717262"
"CANNON",16,8,1200,"10,453078"
"CANNON",16,9,1200,"8,798746"
"CANNON",16,10,1200,"11,045484"
"CANNON",16,11,1200,"12,719427"
"CANNON",16,12,1200,"10,453348"
"CANNON",16,13,1200,"8,813412"
"CANNON",16,14,1200,"11,040817"
"CANNON",16,15,1200,"12,721498"
"CANNON",16,0,1500,"20,150614"
"CANNON",16,1,1500,"16,864388"
"CANNON",16,2,1500,"21,301342"
"CANNON",16,3,1500,"24,599791"
"CANNON",16,4,1500,"20,350111"
"CANNON",16,5,1500,"16,862707"
"CANNON",16,6,1500,"21,309225"
"CANNON",16,7,1500,"24,572935"
"CANNON",16,8,1500,"20,404835"
"CANNON",16,9,1500,"16,895485"
"CANNON",16,10,1500,"21,213664"
"CANNON",16,11,1500,"24,536502"
"CANNON",16,12,1500,"20,342990"
"CANNON",16,13,1500,"16,845581"
"CANNON",16,14,1500,"21,313057"
"CANNON",16,15,1500,"24,566732"
"CANNON",9,0,1500,"18,664952"
"CANNON",9,1,1500,"17,150501"
"CANNON",9,2,1500,"19,199900"
"CANNON",9,3,1500,"22,605140"
"CANNON",9,4,1500,"18,648013"
"CANNON",9,5,1500,"17,261953"
"CANNON",9,6,1500,"19,009422"
"CANNON",9,7,1500,"22,593725"
"CANNON",9,8,1500,"18,530923"
